Precinct,Registered Voters,Ballots Cast,Turnout,Michael Mason
DU0001,980,32,3.27,30
DU0002,638,13,2.04,12
DU0004,900,23,2.56,22
DU0016,1058,13,1.23,11
DU0018,1427,22,1.54,20
DU0020,1012,11,1.09,7
DU0022,720,9,1.25,9
DU0023,596,9,1.51,8
DU0024,835,20,2.40,17
DU0025,674,2,0.30,2
DU0026,649,23,3.54,18
DU0027,841,4,0.48,3
DU0028,1692,23,1.36,22
DU0029,751,13,1.73,11
DU0030,1080,13,1.20,10
DU0031,689,15,2.18,12
DU0032,1641,9,0.55,9
DU0033,1401,24,1.71,23
DU0034,1082,25,2.31,21
DU0035,1570,19,1.21,17
EL0007,774,7,0.90,7
EL0008,836,23,2.75,20
EL0010,686,8,0.86,5
EL0015,765,17,2.22,12
EL0016,920,22,2.39,19
EL0021,661,16,2.42,14
EL0024,1766,23,1.30,17
EL0036,1055,3,0.28,3
EL0038,860,17,1.98,15
EL0039,688,14,2.03,12
EL0047,1827,11,0.60,9
EL0048,1103,28,2.54,26
EL0050,485,13,2.68,13
EL0051,916,13,1.42,5
EL0053,1872,15,0.80,14
EL0054,967,25,2.59,23
EL0055,1301,22,1.69,18
EL0056,1098,19,1.73,18
EL0057,43,1,0.09,1
EL0058,1977,21,1.06,20
EL0059,2132,77,3.61,68
RU0001,1670,5,0.30,5
RU0005,1745,16,0.92,10
RU0006,822,5,0.61,5
SC0001,743,14,1.85,12
SC0002,857,24,2.80,23
SC0003,1099,16,1.45,11
SC0007,1045,11,1.05,10
SC0008,1113,31,2.79,24
SC0011,998,19,1.90,18
SC0012,976,13,1.33,12
SC0016,1155,11,0.95,10
SC0017,801,33,4.12,29
SC0022,986,16,1.62,14
SC0024,1859,18,0.97,17
SC0026,1240,10,0.81,8
SC0027,1226,19,1.55,18
SC0028,956,19,1.99,19
SC0029,1262,27,2.14,26
SC0030,1031,12,1.16,9
SC0031,1273,9,0.71,7
SC0032,794,8,1.01,8
SC0033,862,23,2.67,23