Precinct,Barack Obama/Joe Biden,Mitt Romney/Paul Ryan,Gary Johnson/James P. Gray,Jill Stein/Howie Hawkins,Total
Antioch 1,356,433,9,13,811
Antioch 10,253,405,3,2,663
Antioch 11,306,387,10,4,707
Antioch 12,219,351,5,3,578
Antioch 13,265,357,9,2,633
Antioch 14,236,396,3,1,636
Antioch 15,300,440,5,5,750
Antioch 16,414,469,4,2,889
Antioch 17,348,348,10,3,709
Antioch 2,401,396,7,5,809
Antioch 3,346,399,5,6,756
Antioch 4,325,428,5,1,759
Antioch 5,332,345,7,6,690
Antioch 6,364,358,11,6,739
Antioch 7,308,385,11,2,706
Antioch 8,342,417,11,6,776
Antioch 9,402,410,11,1,824
Avon 18,408,264,9,2,683
Avon 19,339,142,8,6,495
Avon 20,255,176,7,1,439
Avon 21,390,280,12,3,685
Avon 22,359,370,1,0,730
Avon 23,351,338,8,1,698
Avon 24,360,166,13,3,542
Avon 25,372,229,7,4,612
Avon 26,334,180,10,7,531
Avon 27,252,130,3,2,387
Avon 28,344,180,7,1,532
Avon 29,256,148,6,5,415
Avon 30,444,287,15,5,751
Avon 31,385,261,13,3,662
Avon 32,429,211,10,4,654
Avon 33,307,298,8,1,614
Avon 34,386,340,8,2,736
Avon 35,344,344,9,5,702
Avon 36,447,329,13,4,793
Avon 37,418,301,9,2,730
Avon 38,417,297,7,0,721
Avon 39,337,116,7,3,463
Avon 40,276,156,3,2,437
Avon 41,484,394,17,4,899
Avon 42,318,381,2,1,702
Avon 43,376,237,5,6,624
Avon 44,275,319,6,1,601
Avon 45,308,221,14,3,546
Avon 46,326,227,10,3,566
Avon 47,369,331,9,4,713
Avon 48,292,259,6,4,561
Avon 49,345,374,4,6,729
Avon 50,426,277,7,3,713
Benton 51,260,332,8,1,601
Benton 52,255,417,9,2,683
Benton 53,265,395,5,4,669
Benton 54,323,486,9,6,824
Benton 55,200,307,13,7,527
Benton 56,205,344,14,1,564
Benton 57,321,266,6,6,599
Benton 58,311,328,4,2,645
Benton 59,542,235,6,3,786
Benton 60,286,350,7,0,643
Benton 61,333,310,7,4,654
Benton 62,237,224,7,0,468
Benton 63,314,215,4,0,533
Cuba 64,170,307,6,1,484
Cuba 65,235,511,4,1,751
Cuba 66,307,393,5,1,706
Cuba 67,191,336,2,2,531
Cuba 68,281,383,5,1,670
Cuba 69,340,499,2,7,848
Cuba 70,163,402,4,2,571
Cuba 71,237,428,9,2,676
Cuba 72,230,361,5,4,600
Cuba 73,292,473,8,2,775
Cuba 74,240,506,7,2,755
Cuba 75,173,402,5,3,583
Cuba 76,361,355,12,4,732
Cuba 77,282,588,9,0,879
Ela 100,290,637,4,2,933
Ela 101,361,524,14,3,902
Ela 102,313,640,10,3,966
Ela 103,351,402,9,1,763
Ela 104,294,539,7,3,843
Ela 105,307,557,7,3,874
Ela 78,191,395,8,4,598
Ela 79,291,452,11,0,754
Ela 80,286,464,9,4,763
Ela 81,303,536,6,3,848
Ela 82,343,483,10,2,838
Ela 83,386,401,14,5,806
Ela 84,216,258,2,2,478
Ela 85,213,324,2,1,540
Ela 86,329,457,7,0,793
Ela 87,416,385,13,5,819
Ela 88,174,464,9,3,650
Ela 89,254,454,10,2,720
Ela 90,321,376,6,2,705
Ela 91,274,349,8,3,634
Ela 92,331,314,5,4,654
Ela 93,321,314,13,2,650
Ela 94,329,347,16,4,696
Ela 95,374,406,7,4,791
Ela 96,342,428,12,4,786
Ela 97,350,330,9,0,689
Ela 98,263,377,7,1,648
Ela 99,344,700,11,2,"1,057"
Fremont 106,329,218,5,8,560
Fremont 107,381,264,8,1,654
Fremont 108,393,397,2,2,794
Fremont 109,341,382,3,0,726
Fremont 110,208,90,6,2,306
Fremont 111,482,593,9,1,"1,085"
Fremont 112,607,786,5,2,"1,400"
Fremont 113,316,625,10,0,951
Fremont 114,263,528,4,5,800
Fremont 115,413,449,10,0,872
Fremont 116,287,327,8,4,626
Fremont 117,349,334,6,5,694
Fremont 118,249,306,3,2,560
Fremont 119,349,318,4,3,674
Fremont 120,332,226,12,3,573
Fremont 121,265,180,5,1,451
Fremont 122,295,248,10,2,555
Fremont 123,438,341,6,8,793
Fremont 124,310,304,8,4,626
Fremont 125,539,370,20,3,932
Fremont 126,318,319,8,7,652
Grant 127,292,254,12,4,562
Grant 128,362,322,13,2,699
Grant 129,203,246,6,2,457
Grant 130,307,239,6,6,558
Grant 131,255,238,10,2,505
Grant 132,371,377,6,9,763
Grant 133,305,415,10,3,733
Grant 134,310,339,5,8,662
Grant 135,358,299,13,5,675
Grant 136,326,235,12,4,577
Grant 137,349,378,14,5,746
Grant 138,413,302,9,6,730
Grant 139,269,290,7,4,570
Grant 140,328,283,7,2,620
Grant 141,422,345,21,3,791
Grant 142,509,380,15,8,912
Lake Villa 143,236,289,5,1,531
Lake Villa 144,345,420,5,2,772
Lake Villa 145,314,302,7,2,625
Lake Villa 146,270,306,3,2,581
Lake Villa 147,354,468,7,1,830
Lake Villa 148,353,410,9,1,773
Lake Villa 149,202,223,7,2,434
Lake Villa 150,356,349,6,1,712
Lake Villa 151,283,300,8,3,594
Lake Villa 152,324,311,6,4,645
Lake Villa 153,353,438,9,1,801
Lake Villa 154,415,478,9,2,904
Lake Villa 155,317,410,10,3,740
Lake Villa 156,469,443,14,1,927
Lake Villa 157,366,324,8,2,700
Lake Villa 158,386,345,7,4,742
Lake Villa 159,400,288,7,0,695
Lake Villa 160,339,398,6,4,747
Lake Villa 161,323,260,11,3,597
Lake Villa 162,310,279,10,7,606
Lake Villa 163,523,416,5,5,949
Lake Villa 164,476,330,14,1,821
Lake Villa 165,446,257,12,3,718
Lake Villa 166,495,337,3,4,839
Libertyville 167,317,401,4,3,725
Libertyville 168,182,349,4,3,538
Libertyville 169,267,458,7,1,733
Libertyville 170,309,480,1,1,791
Libertyville 171,315,508,9,0,832
Libertyville 172,440,410,8,7,865
Libertyville 173,347,459,11,2,819
Libertyville 174,262,455,6,1,724
Libertyville 175,367,282,10,2,661
Libertyville 176,320,618,11,3,952
Libertyville 177,372,342,13,3,730
Libertyville 178,359,333,4,3,699
Libertyville 179,410,371,7,6,794
Libertyville 180,176,321,6,0,503
Libertyville 181,306,465,10,3,784
Libertyville 182,330,412,5,3,750
Libertyville 183,353,367,12,4,736
Libertyville 184,335,382,5,1,723
Libertyville 185,396,453,10,3,862
Libertyville 186,373,463,6,6,848
Libertyville 187,430,386,7,4,827
Libertyville 188,380,230,11,2,623
Libertyville 189,403,287,7,3,700
Libertyville 190,485,312,9,7,813
Libertyville 191,287,296,2,0,585
Libertyville 192,351,394,2,1,748
Libertyville 193,167,254,4,0,425
Libertyville 194,251,323,3,1,578
Libertyville 195,421,200,6,3,630
Libertyville 196,148,163,4,1,316
Libertyville 197,369,283,8,4,664
Libertyville 198,323,216,12,4,555
Libertyville 199,280,190,0,1,471
Libertyville 200,245,201,2,4,452
Libertyville 201,173,248,8,1,430
Libertyville 202,45,80,1,1,127
Moraine 203,256,605,15,3,879
Moraine 204,632,357,16,1,"1,006"
Moraine 205,541,231,6,1,779
Moraine 206,594,236,5,9,844
Moraine 207,535,269,6,8,818
Moraine 208,560,230,6,4,800
Moraine 209,674,254,3,4,935
Moraine 210,589,268,8,4,869
Moraine 211,603,208,9,1,821
Moraine 212,556,275,5,4,840
Moraine 213,572,227,4,1,804
Moraine 214,547,238,5,1,791
Moraine 215,623,203,3,6,835
Moraine 216,529,202,3,2,736
Moraine 217,563,316,2,3,884
Moraine 218,502,247,4,1,754
Moraine 219,496,207,6,0,709
Moraine 220,549,227,4,3,783
Moraine 221,472,166,7,2,647
Moraine 222,523,226,4,5,758
Moraine 223,674,239,4,4,921
Moraine 224,447,193,7,3,650
Newport 225,206,386,4,0,596
Newport 226,177,236,2,1,416
Newport 227,264,457,6,1,728
Newport 228,599,332,2,1,934
Newport 229,299,477,7,2,785
Shields 230,439,79,2,2,522
Shields 231,936,26,2,5,969
Shields 232,392,37,0,0,429
Shields 233,148,31,1,0,180
Shields 234,258,121,4,2,385
Shields 235,247,292,10,4,553
Shields 236,255,172,1,3,431
Shields 237,409,544,7,1,961
Shields 238,288,433,7,2,730
Shields 239,257,611,5,2,875
Shields 240,328,415,6,0,749
Shields 241,412,534,3,1,950
Shields 242,203,433,4,1,641
Shields 243,381,710,11,5,"1,107"
Shields 244,240,484,2,2,728
Shields 245,209,491,1,4,705
Shields 246,251,348,7,1,607
Vernon 247,381,241,3,4,629
Vernon 248,448,217,11,1,677
Vernon 249,492,320,4,5,821
Vernon 250,493,359,3,4,859
Vernon 251,362,498,5,6,871
Vernon 252,336,707,8,2,"1,053"
Vernon 253,277,369,8,2,656
Vernon 254,312,243,3,2,560
Vernon 255,360,277,5,1,643
Vernon 256,299,182,8,3,492
Vernon 257,358,230,5,2,595
Vernon 258,465,362,8,5,840
Vernon 259,540,442,6,2,990
Vernon 260,237,342,6,2,587
Vernon 261,469,364,4,1,838
Vernon 262,382,273,9,1,665
Vernon 263,400,302,5,11,718
Vernon 264,361,428,10,1,800
Vernon 265,210,295,3,0,508
Vernon 266,448,326,4,0,778
Vernon 267,422,265,1,4,692
Vernon 268,663,509,6,1,"1,179"
Vernon 269,416,546,13,6,981
Vernon 270,336,336,8,2,682
Vernon 271,257,373,7,1,638
Vernon 272,420,259,1,7,687
Vernon 273,637,288,8,2,935
Vernon 274,475,222,3,4,704
Vernon 275,601,273,2,3,879
Vernon 276,477,227,7,3,714
Vernon 277,491,299,5,1,796
Vernon 278,430,261,6,2,699
Vernon 279,446,319,5,2,772
Vernon 280,548,268,4,3,823
Vernon 281,504,316,7,2,829
Vernon 282,426,189,8,4,627
Vernon 283,479,239,15,1,734
Vernon 284,378,271,3,6,658
Vernon 285,462,297,13,2,774
Vernon 286,566,341,13,5,925
Vernon 287,464,400,8,4,876
Warren 288,284,474,11,1,770
Warren 289,267,316,5,1,589
Warren 290,241,189,11,1,442
Warren 291,265,224,6,1,496
Warren 292,386,426,9,1,822
Warren 293,488,426,13,5,932
Warren 294,333,317,6,1,657
Warren 295,385,223,6,6,620
Warren 296,379,210,4,2,595
Warren 297,441,355,11,2,809
Warren 298,468,377,6,1,852
Warren 299,405,172,5,4,586
Warren 300,357,189,10,4,560
Warren 301,376,227,1,8,612
Warren 302,267,199,7,1,474
Warren 303,240,239,5,2,486
Warren 304,282,233,4,2,521
Warren 305,308,306,5,4,623
Warren 306,391,280,6,2,679
Warren 307,353,235,5,0,593
Warren 308,347,399,13,3,762
Warren 309,315,396,7,2,720
Warren 310,351,497,8,2,858
Warren 311,308,322,9,6,645
Warren 312,341,418,4,8,771
Warren 313,353,272,7,6,638
Warren 314,293,210,9,5,517
Warren 315,450,435,14,4,903
Warren 316,462,406,17,3,888
Warren 317,409,435,11,3,858
Warren 318,444,415,12,4,875
Warren 319,364,414,5,3,786
Warren 320,433,347,5,5,790
Warren 321,354,315,11,7,687
Warren 322,384,401,7,3,795
Warren 323,91,204,3,0,298
Warren 324,459,397,9,3,868
Warren 325,498,255,10,2,765
Warren 326,486,139,9,2,636
Warren 327,472,111,3,1,587
Wauconda 328,172,154,5,0,331
Wauconda 329,364,380,9,4,757
Wauconda 330,327,429,5,4,765
Wauconda 331,159,213,6,6,384
Wauconda 332,191,323,6,1,521
Wauconda 333,246,248,12,1,507
Wauconda 334,300,250,5,2,557
Wauconda 335,264,212,10,2,488
Wauconda 336,279,289,11,4,583
Wauconda 337,308,360,11,4,683
Wauconda 338,362,349,9,1,721
Wauconda 339,392,360,4,7,763
Wauconda 340,261,257,4,3,525
Wauconda 341,209,323,4,1,537
Wauconda 342,275,429,9,4,717
Waukegan 343,239,191,6,0,436
Waukegan 344,525,255,2,4,786
Waukegan 345,397,136,5,2,540
Waukegan 346,389,291,5,2,687
Waukegan 347,276,157,5,1,439
Waukegan 348,506,233,4,4,747
Waukegan 349,533,162,4,0,699
Waukegan 350,501,233,1,0,735
Waukegan 351,441,194,7,3,645
Waukegan 352,362,175,9,2,548
Waukegan 353,439,113,3,0,555
Waukegan 354,352,80,6,1,439
Waukegan 355,419,231,6,3,659
Waukegan 356,652,141,5,3,801
Waukegan 357,594,106,4,1,705
Waukegan 358,478,40,4,3,525
Waukegan 359,520,275,9,0,804
Waukegan 360,539,116,3,1,659
Waukegan 361,566,96,6,2,670
Waukegan 362,404,95,3,2,504
Waukegan 363,553,177,4,1,735
Waukegan 364,519,172,5,2,698
Waukegan 365,391,61,3,2,457
Waukegan 366,481,93,4,3,581
Waukegan 367,396,95,3,1,495
Waukegan 368,323,140,4,1,468
Waukegan 369,379,61,0,0,440
Waukegan 370,510,93,5,1,609
Waukegan 371,540,53,1,1,595
Waukegan 372,577,132,3,2,714
Waukegan 373,507,63,3,1,574
Waukegan 374,594,30,4,1,629
Waukegan 375,572,26,1,2,601
Waukegan 376,362,55,1,0,418
Waukegan 377,551,31,0,1,583
Waukegan 378,516,7,0,0,523
Waukegan 379,481,27,2,0,510
West Deerfield 380,185,498,4,1,688
West Deerfield 381,202,385,6,0,593
West Deerfield 382,187,470,5,1,663
West Deerfield 383,229,407,2,1,639
West Deerfield 384,199,520,7,2,728
West Deerfield 385,177,487,2,1,667
West Deerfield 386,160,361,4,2,527
West Deerfield 387,575,323,5,4,907
West Deerfield 388,217,316,6,3,542
West Deerfield 389,512,324,6,4,846
West Deerfield 390,259,248,1,0,508
West Deerfield 391,538,340,9,4,891
West Deerfield 392,623,345,4,0,972
West Deerfield 393,455,256,6,10,727
West Deerfield 394,470,285,8,3,766
West Deerfield 395,587,392,5,5,989
West Deerfield 396,609,385,8,1,"1,003"
West Deerfield 397,437,185,5,3,630
West Deerfield 398,631,311,7,1,950
West Deerfield 399,818,301,5,1,"1,125"
West Deerfield 400,649,352,7,8,"1,016"
West Deerfield 401,558,232,4,1,795
West Deerfield 402,425,260,3,2,690
Zion 403,458,201,3,2,664
Zion 404,344,202,6,1,553
Zion 405,426,158,8,3,595
Zion 406,422,237,9,4,672
Zion 407,367,114,0,4,485
Zion 408,447,113,7,0,567
Zion 409,687,154,5,1,847
Zion 410,335,251,13,1,600
Zion 411,311,168,9,3,491
Zion 412,449,261,4,2,716
Zion 413,332,134,3,2,471
Zion 414,307,298,6,5,616
Zion 415,425,252,10,3,690