Precinct,Registered Voters,Peter J. Roskam
Wayne 1,704,227,
Wayne 2,425,90,
Wayne 3,1182,215,
Wayne 4,1041,147,
Wayne 5,1080,167,
Wayne 6,1076,187,
Wayne 7,919,185,
Wayne 8,869,222,
Wayne 9,1012,242,
Wayne 10,888,188,
Wayne 11,851,174,
Wayne 12,801,100,
Wayne 13,1154,157,
Wayne 15,944,131,
Wayne 17,1343,237,
Wayne 19,861,102,
Wayne 20,739,107,
Wayne 21,1038,170,
Wayne 22,635,135,
Wayne 23,752,129,
Wayne 25,848,109,
Wayne 26,547,76,
Wayne 28,875,128,
Wayne 30,965,134,
Wayne 32,591,117,
Wayne 33,604,86,
Wayne 35,913,149,
Wayne 36,884,144,
Wayne 37,1026,244,
Wayne 39,689,135,
Wayne 40,935,134,
Wayne 42,1080,122,
Bloomingdale 9,954,136,
Bloomingdale 18,859,121,
Bloomingdale 43,571,94,
Bloomingdale 45,489,216,
Bloomingdale 58,1180,187,
Bloomingdale 68,1148,141,
Winfield 1,735,127,
Winfield 2,751,149,
Winfield 4,719,202,
Winfield 5,609,138,
Winfield 6,591,162,
Winfield 7,751,211,
Winfield 8,486,100,
Winfield 9,740,61,
Winfield 12,828,207,
Winfield 13,512,62,
Winfield 14,766,187,
Winfield 15,595,92,
Winfield 17,578,130,
Winfield 18,538,178,
Winfield 19,618,188,
Winfield 20,763,155,
Winfield 21,807,228,
Winfield 22,752,193,
Winfield 23,727,139,
Winfield 30,857,238,
Winfield 37,593,109,
Milton 1,431,93,
Milton 2,637,125,
Milton 3,797,212,
Milton 4,479,154,
Milton 5,558,120,
Milton 6,524,111,
Milton 7,416,97,
Milton 8,771,200,
Milton 9,433,111,
Milton 10,590,122,
Milton 11,529,106,
Milton 12,446,87,
Milton 13,647,128,
Milton 14,568,146,
Milton 15,690,143,
Milton 16,595,147,
Milton 17,851,222,
Milton 18,834,259,
Milton 19,810,207,
Milton 20,594,156,
Milton 21,563,78,
Milton 22,480,88,
Milton 23,700,174,
Milton 24,481,80,
Milton 25,784,243,
Milton 26,1066,116,
Milton 27,560,153,
Milton 28,609,172,
Milton 29,485,77,
Milton 30,814,135,
Milton 31,946,151,
Milton 32,774,223,
Milton 33,543,114,
Milton 34,561,108,
Milton 35,497,112,
Milton 36,613,109,
Milton 37,555,152,
Milton 38,792,133,
Milton 39,812,220,
Milton 40,639,127,
Milton 41,545,96,
Milton 42,516,77,
Milton 43,668,165,
Milton 44,563,117,
Milton 45,565,138,
Milton 46,651,146,
Milton 47,637,93,
Milton 48,546,98,
Milton 49,519,95,
Milton 50,641,108,
Milton 51,1078,185,
Milton 52,544,137,
Milton 54,790,212,
Milton 55,791,181,
Milton 56,487,103,
Milton 57,891,250,
Milton 58,789,188,
Milton 59,424,124,
Milton 60,850,168,
Milton 61,928,238,
Milton 62,688,125,
Milton 63,801,163,
Milton 64,691,92,
Milton 65,519,140,
Milton 66,756,147,
Milton 67,587,141,
Milton 68,632,128,
Milton 69,500,118,
Milton 71,519,168,
Milton 73,986,205,
Milton 74,610,173,
Milton 75,547,157,
Milton 76,664,127,
Milton 77,548,118,
Milton 78,524,70,
Milton 79,787,163,
Milton 80,735,81,
Milton 81,770,162,
Milton 82,536,129,
Milton 83,610,163,
Milton 84,731,165,
Milton 85,459,79,
Milton 86,390,117,
Milton 87,857,200,
Milton 88,797,133,
Milton 89,762,118,
Milton 90,882,249,
Milton 91,350,106,
Milton 92,449,113,
Milton 93,652,105,
Milton 94,518,109,
Milton 95,819,225,
Milton 96,506,83,
Milton 97,780,110,
Milton 98,619,112,
Milton 99,726,170,
Milton 100,953,216,
Milton 102,1020,303,
Milton 104,492,74,
Milton 105,344,80,
Milton 106,937,249,
Milton 107,562,157,
Milton 108,705,142,
Milton 109,551,156,
York 3,539,108,
York 9,635,74,
York 18,965,159,
York 21,328,58,
York 26,810,166,
York 30,536,110,
York 42,491,77,
York 43,427,82,
York 56,806,118,
York 62,1147,146,
York 64,237,63,
York 74,960,171,
York 75,885,168,
York 77,610,121,
York 86,848,121,
York 93,727,104,
York 95,400,77,
York 97,798,179,
York 100,636,97,
York 101,460,88,
York 105,735,162,
York 106,555,153,
York 109,880,238,
York 111,961,107,
York 114,734,151,
York 119,770,122,
York 121,763,160,
York 122,668,82,
York 128,971,222,
York 130,453,124,
Naperville 5,668,118,
Naperville 7,652,112,
Naperville 10,858,217,
Naperville 15,621,68,
Naperville 16,876,274,
Naperville 19,734,132,
Naperville 22,851,161,
Naperville 26,829,167,
Naperville 31,698,93,
Naperville 61,593,167,
Lisle 1,324,49,
Lisle 3,1043,207,
Lisle 4,665,102,
Lisle 6,462,70,
Lisle 7,360,67,
Lisle 8,660,78,
Lisle 9,587,87,
Lisle 11,717,166,
Lisle 14,900,214,
Lisle 16,878,116,
Lisle 22,669,154,
Lisle 25,662,101,
Lisle 31,646,146,
Lisle 32,581,67,
Lisle 37,691,144,
Lisle 38,603,82,
Lisle 40,545,103,
Lisle 43,1100,268,
Lisle 44,550,103,
Lisle 52,1028,184,
Lisle 55,452,93,
Lisle 56,1055,209,
Lisle 59,768,168,
Lisle 61,1032,161,
Lisle 68,768,192,
Lisle 77,1084,168,
Lisle 78,1577,254,
Lisle 80,467,72,
Lisle 81,625,171,
Lisle 83,713,139,
Lisle 88,541,88,
Lisle 89,773,110,
Lisle 91,709,140,
Lisle 92,344,35,
Lisle 95,588,155,
Downers Grove 2,605,155,
Downers Grove 3,555,122,
Downers Grove 6,553,150,
Downers Grove 7,749,202,
Downers Grove 8,854,174,
Downers Grove 9,550,103,
Downers Grove 10,699,101,
Downers Grove 11,758,228,
Downers Grove 12,602,151,
Downers Grove 14,792,159,
Downers Grove 15,560,99,
Downers Grove 16,494,114,
Downers Grove 17,679,151,
Downers Grove 18,768,159,
Downers Grove 19,532,70,
Downers Grove 20,827,177,
Downers Grove 21,652,200,
Downers Grove 26,697,140,
Downers Grove 27,461,84,
Downers Grove 28,502,132,
Downers Grove 29,794,157,
Downers Grove 30,551,75,
Downers Grove 31,651,122,
Downers Grove 32,523,145,
Downers Grove 33,1237,179,
Downers Grove 34,801,131,
Downers Grove 36,780,186,
Downers Grove 37,787,258,
Downers Grove 38,622,225,
Downers Grove 39,538,97,
Downers Grove 44,572,143,
Downers Grove 45,641,168,
Downers Grove 47,350,86,
Downers Grove 48,525,80,
Downers Grove 49,687,130,
Downers Grove 50,677,132,
Downers Grove 51,658,131,
Downers Grove 52,756,173,
Downers Grove 53,749,173,
Downers Grove 54,908,199,
Downers Grove 55,493,122,
Downers Grove 56,458,67,
Downers Grove 57,609,98,
Downers Grove 59,699,142,
Downers Grove 61,758,195,
Downers Grove 63,1078,141,
Downers Grove 64,932,199,
Downers Grove 65,684,136,
Downers Grove 66,591,96,
Downers Grove 67,900,142,
Downers Grove 69,469,87,
Downers Grove 70,928,215,
Downers Grove 71,644,87,
Downers Grove 73,577,91,
Downers Grove 74,844,139,
Downers Grove 75,666,131,
Downers Grove 76,759,62,
Downers Grove 78,568,109,
Downers Grove 79,966,231,
Downers Grove 82,668,170,
Downers Grove 83,802,189,
Downers Grove 84,645,140,
Downers Grove 85,575,165,
Downers Grove 87,1265,268,
Downers Grove 92,1106,221,
Downers Grove 94,886,124,
Downers Grove 96,561,81,
Downers Grove 97,654,114,
Downers Grove 98,642,155,
Downers Grove 102,945,185,
Downers Grove 103,563,82,
Downers Grove 105,796,83,
Downers Grove 106,619,107,
Downers Grove 107,476,93,
Downers Grove 109,726,184,
Downers Grove 112,673,104,
Downers Grove 113,1017,132,
Downers Grove 115,670,134,
Downers Grove 118,708,57,
Downers Grove 119,993,195,
Downers Grove 120,680,138,
Downers Grove 121,542,146,
Downers Grove 127,601,91,