Precinct,Registered Voters,Ballots Cast,Turnout,Leslie Coolidge,Geoffrey Petzel,Maureen E. Yates
DU01,954,38,3.98,19,4,13
DU02,615,23,3.74,10,8,5
DU04,865,29,3.35,13,5,10
DU16,955,24,2.51,13,5,6
DU18,1399,51,3.65,27,10,12
DU20,966,35,3.62,14,11,8
DU22,691,24,3.47,9,3,10
DU23,565,27,4.78,14,3,3
DU24,787,29,3.68,17,7,4
DU25,682,13,1.91,5,5,3
DU26,631,33,5.23,19,6,5
DU27,830,14,1.69,6,4,3
DU28,1568,50,3.19,21,7,15
DU29,703,17,2.42,6,1,8
DU30,994,15,1.51,6,4,4
DU31,639,25,3.91,8,2,11
DU32,1548,30,1.94,11,4,9
DU33,1263,30,2.38,12,5,10
DU34,986,44,4.46,22,3,18
DU35,1453,25,1.72,11,2,9
EL07,747,21,2.81,14,0,6
EL08,807,39,4.83,24,4,9
EL10,932,37,3.97,25,1,10
EL15,737,38,5.16,17,4,12
EL16,871,36,4.13,14,7,14
EL21,651,29,4.45,9,2,12
EL24,1674,43,2.57,18,4,17
EL36,1046,42,4.02,18,6,11
EL38,829,18,2.17,7,1,9
EL39,631,22,3.49,4,5,11
EL47,1656,29,1.75,11,5,12
EL48,1038,75,7.23,45,6,12
EL50,446,23,5.16,11,4,8
EL51,825,30,3.64,9,8,10
EL53,1781,47,2.64,23,3,17
EL54,912,49,5.37,33,4,9
EL55,1241,41,3.30,17,5,14
EL56,1040,37,3.56,13,6,12
EL57,1053,2,0.19,0,0,2
EL58,1746,29,1.66,7,10,8
EL59,1938,136,7.02,57,23,42
RU01,1391,27,1.94,13,1,10
RU05,1592,43,2.70,12,3,22
RU06,763,7,0.92,3,2,2
SC01,0,17,0.00,7,4,5
SC02,855,26,3.04,15,1,8
SC03,0,30,0.00,13,4,7
SC07,1017,21,2.06,13,2,4
SC08,1059,56,5.29,33,6,15
SC11,961,26,2.71,14,3,9
SC12,925,9,0.97,5,1,1
SC16,1098,21,1.91,9,2,9
SC17,700,35,5.00,12,6,13
SC22,948,32,3.38,16,5,6
SC24,1696,34,2.00,13,4,13
SC26,1159,16,1.38,3,1,8
SC27,1187,34,2.86,21,4,6
SC28,943,45,4.77,23,6,12
SC29,1198,40,3.34,13,7,16
SC30,999,25,2.50,12,5,7
SC31,1148,15,1.31,10,1,4
SC32,774,15,1.94,8,4,3
SC33,823,20,2.43,9,2,6