Precinct,Registered Voters,Ballots Cast,Michael Mason,Total Votes
Barrington 1,867,13,12,12
Barrington 2,841,36,32,32
Barrington 3,"1,066",20,17,17
Barrington 5,"1,027",9,8,8
Barrington 6,"1,097",16,14,14
Barrington 7,348,4,4,4
Barrington 8,"1,373",21,20,20
Barrington 9,672,15,13,13
Hanover 9,944,25,21,21
Hanover 26,"1,375",28,20,20
Hanover 31,750,16,14,14
Hanover 42,926,22,17,17
Hanover 44,"1,231",20,18,18
Lyons 12,607,26,20,20
Lyons 27,831,11,10,10
Palatine 1,658,26,21,21
Palatine 2,"1,077",26,21,21
Palatine 3,804,6,6,6
Palatine 6,"1,006",26,24,24
Palatine 7,954,24,18,18
Palatine 8,"1,014",32,26,26
Palatine 9,892,34,30,30
Palatine 10,"1,060",25,21,21
Palatine 11,826,15,14,14
Palatine 12,863,30,26,26
Palatine 14,844,22,20,20
Palatine 15,902,30,30,30
Palatine 17,845,36,33,33
Palatine 18,631,22,20,20
Palatine 19,922,30,27,27
Palatine 20,859,21,19,19
Palatine 23,641,12,11,11
Palatine 25,724,20,20,20
Palatine 28,619,32,23,23
Palatine 29,"1,262",42,37,37
Palatine 30,708,30,26,26
Palatine 31,601,18,16,16
Palatine 32,872,16,14,14
Palatine 33,661,12,8,8
Palatine 34,"1,155",22,19,19
Palatine 35,805,20,15,15
Palatine 36,855,25,18,18
Palatine 37,"1,091",21,20,20
Palatine 38,806,16,15,15
Palatine 40,"1,309",18,15,15
Palatine 41,"1,181",39,36,36
Palatine 42,"1,063",49,43,43
Palatine 43,717,21,19,19
Palatine 44,"1,182",8,6,6
Palatine 45,726,15,14,14
Palatine 46,"1,008",42,37,37
Palatine 48,729,16,16,16
Palatine 49,692,9,8,8
Palatine 50,"1,313",37,33,33
Palatine 52,899,9,8,8
Palatine 54,"1,091",44,40,40
Palatine 55,701,10,9,9
Palatine 56,995,26,22,22
Palatine 57,"1,146",40,36,36
Palatine 63,964,24,20,20
Palatine 64,934,13,11,11
Palatine 65,763,12,10,10
Palatine 67,790,15,14,14
Palatine 68,788,26,20,20
Palatine 69,889,20,20,20