Precinct,Registered Voters,Times Counted,Total Votes,Times Over Voted,Number of Under Votes,Peter J. Roskam Number,Peter J. Roskam Percent
ALGONQUIN 1,539,72,55,0,17,55,100.00
ALGONQUIN 2,797,159,113,0,46,113,100.00
ALGONQUIN 3,689,104,72,0,32,72,100.00
ALGONQUIN 4,951,133,90,0,43,90,100.00
ALGONQUIN 5,992,143,106,0,37,106,100.00
ALGONQUIN 6,713,121,90,0,31,90,100.00
ALGONQUIN 7,482,121,86,0,35,86,100.00
ALGONQUIN 8,880,116,80,0,36,80,100.00
ALGONQUIN 9,743,120,94,0,26,94,100.00
ALGONQUIN 10,810,143,107,0,36,107,100.00
ALGONQUIN 11,1100,91,73,0,18,73,100.00
ALGONQUIN 12,862,122,90,0,32,90,100.00
ALGONQUIN 13,799,111,83,0,28,83,100.00
ALGONQUIN 14,829,110,86,0,24,86,100.00
ALGONQUIN 15,736,77,62,0,15,62,100.00
ALGONQUIN 16,808,183,134,0,49,134,100.00
ALGONQUIN 17,1181,199,161,0,38,161,100.00
ALGONQUIN 18,562,94,72,0,22,72,100.00
ALGONQUIN 19,632,111,81,0,30,81,100.00
ALGONQUIN 20,432,60,48,0,12,48,100.00
ALGONQUIN 21,867,102,75,0,27,75,100.00
ALGONQUIN 22,568,70,51,0,19,51,100.00
ALGONQUIN 23,873,226,163,0,63,163,100.00
ALGONQUIN 24,857,102,81,0,21,81,100.00
ALGONQUIN 25,522,79,60,0,19,60,100.00
ALGONQUIN 26,661,83,66,0,17,66,100.00
ALGONQUIN 27,791,97,76,0,21,76,100.00
ALGONQUIN 28,943,123,99,0,24,99,100.00
ALGONQUIN 29,511,78,69,0,9,69,100.00
ALGONQUIN 30,946,166,138,0,28,138,100.00
ALGONQUIN 31,1108,107,90,0,17,90,100.00
ALGONQUIN 32,739,94,75,0,19,75,100.00
ALGONQUIN 33,1042,161,122,0,39,122,100.00
ALGONQUIN 34,789,91,67,0,24,67,100.00
ALGONQUIN 35,1120,103,83,0,20,83,100.00
ALGONQUIN 36,687,167,134,0,33,134,100.00
ALGONQUIN 37,314,17,16,0,1,16,100.00
ALGONQUIN 38,831,118,88,0,30,88,100.00
ALGONQUIN 39,863,58,49,0,9,49,100.00
ALGONQUIN 40,670,60,49,0,11,49,100.00
ALGONQUIN 41,1204,146,114,0,32,114,100.00
ALGONQUIN 42,1103,114,98,0,16,98,100.00
ALGONQUIN 43,1064,109,88,0,21,88,100.00
ALGONQUIN 44,753,86,70,0,16,70,100.00
ALGONQUIN 45,892,172,130,0,42,130,100.00
ALGONQUIN 46,1071,218,163,0,55,163,100.00
ALGONQUIN 47,1181,169,130,0,39,130,100.00
ALGONQUIN 48,1154,179,137,0,42,137,100.00
ALGONQUIN 49,764,105,78,0,27,78,100.00
ALGONQUIN 50,857,154,122,0,32,122,100.00
ALGONQUIN 51,1100,185,148,0,37,148,100.00
ALGONQUIN 52,1007,82,64,0,18,64,100.00
ALGONQUIN 53,656,48,39,0,9,39,100.00
ALGONQUIN 54,933,116,98,0,18,98,100.00
ALGONQUIN 55,1110,134,110,0,24,110,100.00
ALGONQUIN 56,655,70,59,0,11,59,100.00
ALGONQUIN 57,1227,100,77,0,23,77,100.00
ALGONQUIN 58,951,123,110,0,13,110,100.00
ALGONQUIN 59,1223,79,68,0,11,68,100.00
ALGONQUIN 60,436,71,55,0,16,55,100.00
ALGONQUIN 61,641,81,57,0,24,57,100.00
ALGONQUIN 62,988,145,124,0,21,124,100.00
ALGONQUIN 63,1172,132,100,0,32,100,100.00
ALGONQUIN 64,621,71,51,0,20,51,100.00
ALGONQUIN 65,1202,194,150,0,44,150,100.00
ALGONQUIN 66,705,71,57,0,14,57,100.00
ALGONQUIN 67,897,117,93,0,24,93,100.00
ALGONQUIN 68,1289,165,137,0,28,137,100.00